"","x"
"1311","이렇게 문제있는 사람들을 콕 집은 내용도 대단하다 싶은데 분량이 도대체... 와.... 과거 얘기 끝나면 이번화도 끝날줄 알았어요ㅋㅋㅋㅋㅋ 겁나 푸짐해"
"1312","오또케오또케 해줘해줘-페미-"
"1313","페미들은 이거 보면서 지네 얘기인줄 모르고 사회 얘기인줄 알듯"
"1314","라샹족 페미네 ㅋㅋㅋ"
"1315","라상족은 지금의 대한민국 국민들이네요 작가님 의도가 대단하십니다"
"1316","나만 유한성 노란색 눈에다가 머리 자하드 생각남?"
"1317","""해줘""충들의 최후"
"1318","엑스트라에 너무 많은 분량 쓴 것 같다는 애들은 라샹족이랑 다를게 뭐냐 이번화 사회 풍자 제대로 해줘서 너무 마음에 드는데"
"1319","소름 쫙"
"1320","웹툰 한 편보는데 8분 봄ㅋㅋ"
"1321","왜 이 웹툰은 내랴도 내려도 끝나지않음?? 버근가"
"1322","이게 또 다른의미가 있는 것이, 무조건 해주면 망하지만, 능력을 키울 수 있도록 만들어주면 강해질 수 있다는 것을 표현한 것 같네요...약자를 무조건 돕기보단 약자가 강해질 수 있는 환경이나 무기를 주는 것. 대립을 통해 잘 표현한 것 같네요"
"1323","웹툰이야기 안 해서 죄송합니다 작가님왜 두 집단이 서로에게 무차별적인 비난과 혐오와 폭언을 퍼붓는지 모르겠습니다.잘 못한 것이 있다면 마땅히 서로 바로잡아줘야 하는데웹툰 댓글창에서도 쉽게 보일 정도로 갈등만 늘고 있습니다.21세기에 점점 삶이 발전되고 변화하고 있는데 언제까지 갈등에만 사로잡히실 건가요?뇌좀 다시 끼우시고 살기 좋은 나라좀 만들어 봅시다 제발."
"1324","과거회상으로 끝나나 했는데 내려도 내려도 끝이 없네 ㅋㅋㅋㅋ"
"1325","한번에 귀멸 아카자, 원펀맨 보로스를 동시에 베껴버리네 ㄷㄷ"
"1326","""해줘""ㅋㅋㅋㅋㅋㅋㅋ"
"1327","분량 왤케 많아ㅋㅋ 너무 좋구용"
"1328","송상윤 웹툰을 발로 읽음?"
"1329","이걸 한 화에 끝내네.. 분량 무섭다"
"1330","유한성.. 너 남자였냐???"
"1331","라샹족 에피소드 하나본느낌인데? 분량이 끝나갈때가 됬는데하고 스크롤봤는데 반절이나 더 남았네"
"1332","최근들어 저 커피믹스괴물 자하드, 자왕난 이랑 비슷하게 생겼다는 느낌이 자꾸듦. 처음부처 저렇게 생겼던가 ?"
"1333","오니가 되어라 유한성"
"1334","한화에 한이야기가 완성되었네..미친 분량"
"1335","쿵쾅이들 쿵쾅대겟닼ㅋㅋㅋㅋㅋ"
"1336","전쟁중에 게임하는것도 이상한데 ㅈㅂ인물생명을 ㅈㄴ길게도 해놨네그래서 이새끼는 난중에 야스라챠 배신할수도 있다는거냐? 작가야 하고싶은얘기는 이거지?"
"1337","조장혁이 부릅니다잘못된 사랑"
"1338","지금 엑스트라한테 한 화 분량도 넘게 준 이유를 모르겠다 하고 내용 질질 끌지 말라는 애들아 잘 들어. 작가가 분량 다른웹툰이랑 비슷하게 하고 3화 동안 계속 같은 엑스트라 얘기만 했다면 너네가 하는 말이 이해가 되는데 평소 분량의 3배로 해서 한 화만에 끝내셨잖아. 작가는 그냥 유한성이랑 엑스트라랑 싸우는 걸로 1화 때울 수 있었어. 근데도 ""질질 끌지 마 그래도 분량은 오늘처럼 해줘"" 이러는 게 오늘 나온 라샹족이랑 다를 게 없다고 생각해. 이렇게 까지 말했는데 '나는 라샹족 같지 않아'라고 생각한다면 이번화 다시 보고오길 바랄게"
"1339","구라안치고 격기3반 다섯배는 되는 분량인거같다.. 하 사랑해"
"1340","이작가는 참 다른 일본만화 인물들 잘 가져오는 듯"
"1341","와 이 정도면 500원도 내고 볼 수 있음"
"1342","쿵쾅이들 찔려서 별테하기 전에 우린 10점으로 테러합시당"
"1343","만화가던 소설가던 문학이 아닌 다른 장르의 예술가던 작품에는 항상 하고싶은 말이 남지 조용히 보라는건 멍청한 소리다ㅇㅇ 생각안하고 사는게 좋은 놈들이 그걸 자랑이라고 저러고있누ㄷㄷ"
"1344","나라 좀 먹는 페미냔들 혐오는 건강에 매우 좋단다그리고 아직까지 남페미짓하는 서윗 한남들은 좀 정신 차려~~ 그런 짓 한다고 걔네들이 대줄거 같니?? 페미냔들은 주제 모르고 왕자님 찾는 중이라 관심도 없어~~그리고 얼굴에 미사일 맞은 페미들이랑 하고 싶니 취향이라면 할말 없다만~~"
"1345","보면서 찔리는 사람 있을거다 ㅋㅋ 이 에피소드로 신의탑 안본다고 할 사람도 있을거고 곧있으면 좌표찍고 와서 별점 테러도 할듯. ㅋㅋ"
"1346","재미없게 본건 아닌데 연재속도 이정도면 10년은 이미 넘었고 20년 지나도 완결 못볼거같음"
"1347","쟤 남자였어?"
"1348","왜 사망플래그 다 세워놓고 과거 인생사 풀어주시는 거냐구요ㅠ하라챠 이 자식 자업자득인지는 모르겠지만 저승에서는 행복해라"
"1349","페미 저격이라기보단 우매한 민중들을 까는 내용 같음. 복지와 평등 좋아하는 그 분들..."
"1350","작가 수위가 높다... 한성이는 짱께가 맞겠군 무서웠다 우리의 미래가"
"1351","와 이번화 유한성 ㅈㄴ 멋있어"
"1352","폐미저격화"
"1353","하라챠:나라라샹족:페미"
"1354","아니 미친 컷이 많아서 내리는데 손가락이 아파"
"1355","평등하게 노력할 기회조차 없는게 우리사회인데, 사회풍자는 얼어죽을..."
"1356","자하드를 파멸시키고 싶은 유한한 파편... 유한함+별이어서 유한성인건가????"
"1357","난 금발에 하는 말 보고 자하드의 왕자인줄 알았는데 헨도가문이었네 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"1358","아카자인줄;"
"1359","보는데 10분걸렸다..행복사..♡"
"1360","헐 하라챠..ㅠㅠㅠ"
"1361","그냥 끝낼수도있는 전투씬 좀 더 풍부하게 해줬구만 뭘 그러냐 한 화만에 끝냈고 분량도 지리는데ㅋㅋㅋ"
"1362","하성진 구출전 자체가 절망과 극복의 챕터인가?"
"1363","진짜 일부로 풍자하신 것 같네. ""해줘"""
"1364","와 진짜 분량ㄷㄷ.....경이로운 수준이다 외쳐 갓시우"
"1365","유한성 남자였음????????"
"1366","ㅋㅋ보기싫음 다 ㄲㅈ으면 좋겠네"
"1367","엑스트라면서분량 무엇.. 안봐도 전혀 지장없는 편이었다"
"1368","문쩝쩝이 비판하는건데"
"1369","엑스트라한테 너무 쓸데없이 분량 많이 쓴 거 같은데..."
"1370","딱 봐도 '공정'함을 외치는 20대 남자들 얘기인데ㅋㅋ 하긴 지들 눈에 보고싶은대로 보는거겠지"
"1371","중간정도까진 조금 힘들엇다.. 갑자기 무슨 케릭터설명인가 했네요"
"1372","지금 다시 또 보고왔는데 유한성님 아래로 떨어질때 눈을 막 아래로 깔고 떨어지는 그 얼굴.. 그저 빛"
"1373","하라챠 낭만 합격"
"1374","대깨들에게 한방 먹이는 화였네요. 초기 신의탑은 경쟁에 대해 안좋게 표현해서 좌쪽 성향이신가 착각했었는데. 밤도 성장하면서 희생, 경쟁을 받아드리며 성장해나가고 이번화는 평등을 외치는 사람을 까는 화고. 중도시군요. 더 승승장구 하시길 바랍니다."
"1375","네이버가 이런 내용을 잘도 허용해줬네 ㅋㅋㅋ"
"1376","아 별점 최대 10점밖에 못 준다는게 너무 싫다 ㅠㅠㅠ백점만점 드리고싶은데..."
"1377","현실풍자 지리고 ㅋㅋㅋㅋ"
"1378","지렸다…이번화.."
"1379","라샹족=우리나라"
"1380","귀칼의 아카쟈 같은 느낌의 캐릭터로 느껴졌네요 많은 것을 헌신해 보았던 사람으로써 이번 화 아주 잘 봤습니다 하나의 엑스트라에 하나의 화를 소모하였지만 뭐 어떻습니까 감사합니다 작가님"
"1381","휴재 하나마나 의미가없네 ㅋㅋㅋㅋ제 2의 호랑이 형님이누 ㅋㅋ"
"1382","왜 또 과대해석하고 싸우냐 걍 웹툰 얘기만 하자고 좀"
"1383","아직까지 싸움?.."
"1384","절반은 소설읽다가 웹툰본듯"
"1385","어쩌라고 마법소녀야 니소개 잘봤다 ㅋㅋ"
"1386","ㅍㅁ 언급 안하는게 만화에 도움될거 같아요 그분들 몰려오면 답없어요..그냥 만화 이야기만 합시다 별점테러 맞으실까봐 겁남.."
"1387","해줘해줘"
"1388","요즘시대에는 로켓이 유행이던데, VVVVVIP좌석에 앉아 편하게 위로 올려 드리겠습니다 작가님"
"1389","근데 솔직히 분량은 개지리는데 말이 너무 많다"
"1390","이거 완전 쿵쾅..."
"1391","신탑이 이렇게 과거회상하면서 작가가 하고 싶은 말 해도 욕 안먹는 이유: 해도 분량이 남음 ㅎㄷㄷ"
"1392","컷을 세면서 보다니 ㄷㄷ"
"1393","시즌 1때의 맛이안남 이상한 듣보잡 랭커들말고 최상위 랭커들이나보여주라고 우렉마지노나 유리좀 보이면서 밤의 성장이 궁금한거지; 쓸때없는 줄거리 너무많음"
"1394","히라챠...너무 죽기엔 안타까운 캐릭터다.."
"1395","그래도 악플이 줄었다...!"
"1396","신의 탑 하루빨리 1등 해야하는데..."
"1397","'페미' 해버렸다"
"1398","그래서 한성님 떡밥 풀어지고 있나요 학학"
"1399","신의 탑코인 화성 가야지"
"1400","언제 부턴가 ??들은 누군가가 자신들보다 더 많이 가지고 있는 것을 견디지 못했다. 평등을 주장하지만 평등하게 노력하지 않았다. !!!제가 보기엔 잘못된 성평등에 대한 비판보단 좌파의 평등론을 비판한게 맞지않을꺼 같네요. 평등은 기회의 평등이여야지 결과의 평등이 아니고. 누군가 무상으로 퍼주기만 하면 결과는 노력하지 않고 받는걸 당연시 하는 세태. 결국은 황금알을 낳는 거위의 배까지 갈라버리는 세태를 비유하신듯하네요.너무 많은걸생각 하게 하는 화였던 것 같습니다"
"1401","곧 언냐들이 폭주할 웹툰입니다"
"1402","'유한성=유한한 파편'이었군요. 사실 밤보다 그 정체가 더 궁금한게 유한성이었는데 조금씩 풀리려나요?"
"1403","그때가 그립다 항상 1등이던 그날..."
"1404","아따 작가님 힘내세요 전 원래 댓글 많이 달고 그러진않는데 이건 뭐..평소 안그랬던것 같은데 갑자기 어디 좌표라도 찍어서 달려드는것인지…사람들 쓸데없는 말로 도배하는꼴 보니까 마음이 아파서 신고하고싶은데 네이버 신고 두가지 종류로 신고만 할수있으니 어쩌라는건지 네이버 이자식들아!! 작가님 괴롭다!!"
"1405","신탑코인 가즈아아아아아!"
"1406","1위 하자.."
"1407","이번 화 충분히 재밌고 좋았는데 지들 맘에 안든다고 또 입맛대로 중요하지도 않다느니 질질 끈다느니 하네.. 그럼 니들이 작가하든가 하세요 뭐 이거로 몇 화째 끄는 것도 아니고 딱 재밌게 잘보는 사람들도 많은데 200컷이나 그려주신 것도 감사한데 진짜ㅠ 서운하네"
"1408","그럼 좋겠다"
"1409","모바일 2위 PC 1위 = 곧 1위 탈환 or 일시적인 렉"
"1410","전 모바일인데 2위임.."
"1411","Pc가 2위임?"
"1412","질질 끄는 게 아니라 별로 중요하지 않은 것 같은 엑스트라 과거를 너무 길게 쓴 것이.. 이 부분 생략하고 봐도 무관한 정도이니 좀 아쉽네요"
"1413","아니 이번화 본것중에 젤좋았다 왜냐면 현실비판과 철학이담겨있었기 때문이다 한번해주면 자꾸요구하는 사람들 그리고 자기능력이 없어지고 의지만하지 그렇게 가다가 의지할만한사람이으면 아무것도못하는 바보가되지 약간 핸드폰있다가 없으면 바보되는거랑 똑같은것같네"
"1414","맨 마지막에 소름 쫙"
"1415","이번화 ㅈㄴ 가슴이 웅장한데"
"1416","군가산점 남자들 2년 군대갔다올동안 자기계발 없이 쳐놀려고 없앤거아님?"
"1417","2위? 3위던데? 내가 이상한건가?"
"1418","라샹족은 군캉스간 한남들이 핸드폰 쓰게해달라, 군가산점 달라, 식사 개선해달라며 징징대는 꼬라지랑 비슷하네요 ㅋㅋㅋㅋ"
"1419","와 웹툰 평균 분량이 60~70컷 정도 되고 많으면 100컷 정도 되던데 200컷이라니 ㅋㅋ 진짜 대단하시네요"
"1420","아 진짜 분량 미쳤다ㅋㅋㅋㅋㅋㅋㅌㅋ 또 정주행하고 싶어지네 작가님 진짜 최고에요... 많이 버시겠지만 더 많이 버시고 더더 많이 버세요..."
"1421","2위던데?!?"
"1422","근데 신의 탑은 완결까지 잘 되면 좋겠다 ㄹㅇ?.."
"1423","아니 이게 왜 질질 끈다는거지?"
"1424","아재미없어.. 풀어나갈껀 ㅈㄸ많은데 또 노블레스처럼 질질끄네"
"1425","와 대한민국에 라샹족 ㄹㅇ 개많은거 풍자 맛깔나게 하셨네용"
"1426","내려도내려도 있냐 ㅋㅋㅋㅋㅋㅋㅋ 분량 미쳤나봐"
"1427","다시 3위 ㅠㅠ 이게 왜 3위지?"
"1428","계집년들 진짜 운동장에 사열종대로 세워놓고 줄기차게 뺨존나 쳐야되는데"
"1429","인터넷에서 tus 찾아보셈"
"1430","캬"
"1431","좋아 맘에들어"
"1432","오늘은 현실풍자 블랙코미디"
"1433","쭈니님 따라해보세요탑은 하늘이다탑은 황제이다탑은 진리이다탑에 복종하자"
"1434","생각해보니 몇번을 정주행하고 가슴이 그냥 웅장해지고 월요일만 기다리고 애니메이션으로 나온것도 봤는데 흑 ㅠ 밤이 그냥 라헬만 찾던것이 엊그제 같은데 다컸다 장하다 사랑한다"
"1435","그래서 네이버 웹툰 신고 버튼은 장식인가요?몇번이나 예전이나 지금이나 했는데 암것도 안되고...."
"1436","미안 베댓들아 2줄 이상은 안읽어"
"1437","정글러는 백정아니냐?백정이 입열게 되잇어?"
"1438","아.. 시우선생님 이번에도 깜빡하고 3주 분량 한번에 올리셨네.."
"1439","화이팅... 정치면어때 나랑 맞는 정치색은 좋다 ㅋㅋ"
"1440","정글러로써 우리팀한테 하고싶은말이다..."
"1441","매주 업데이트하는데 이 분량 실화냐"
"1442","라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ라샹족은 한국군인들 같네요 ㅋㅋ 군캉"
"1443","근데 기회평등만 추구하고 결과 평등 무시하면 걍 우리나라 신의탑 세계관됨. 능력없으면 파리처럼 죽는 세계에서 살고싶음? 풍자다 뭐다 과몰입 그만하세요 ㅋㅋㅋㅋㅋ 복지도 필요하고 기회평등도 필요한거임. 님은 밤이 아니라서 평등 추구하는 사회 없으면 걍 라헬 꼴 남."
"1444","정말 웃긴다. 풍자의 대상들이 나서서 풍자의 변호를 해준다는게"
"1445","아니 이번화로 유한성 떡밥과 실력도 나오고 현실 풍자도 하고 분량도 ㅈㄴ많은데 욕하는 ㅅㄲ들은 머냐 ㅋㅋㅋ"
"1446","하루 20시간씩 트위터하는 페미니스트분들~ 맨날 탈코하신다는데 탈코라는 말을 잘 모르시나봐요? 탈코는 탈탈 다 털어 쳐먹는 코끼리 줄임말이 아니라 탈코르셋이에요 ㅋㅋ 82kg분들 제발 그만 좀 쳐 드세요..!!"
"1447","노잼이다"
"1448","아..근데 전 솔직히 82키로 그분들이랑 현피뜨면 진심으로 싸워도 이길자신이 없어서 키보드로만 깝치겟습니다 ㅎㅎ"
"1449","유한한 파편, 유한성.... 성이 별 성인가? 별은 엄청난 힘을 가지고 있고 아주 작은 힘이라도 강력하니까 유한성은 아를렌과 관련이 있을 듯"
"1450","유한성 진짜 홍등가의 왕자 아님? ‘어디에서 시작’이라..."
"1451","이거 페미들 저격아니냐 ㅋㅋㅋㅋ"
"1452","한 화만에 한 캐릭터의 이야기를 몰입되게 잘 풀어내셨네.. 이 편만으로 하라챠 라는 캐릭터가 매력적으로 보인다. 현실에도 저렇게 권리를 챙기려고 요구만 늘어놓고 의무는 안 하고 자격도 안 되는 사람 되게 많죠.. 그 분들이나 여성 할당제가 아직 존재하는 것도 그렇고요. 결국 저렇게 끝에 나락으로 갈 텐데 왜 그러는지 모르겠네요."
"1453","라샹족은 한국군인들 같네요 ㅋㅋ 군캉스 놀러가서 핸드폰 쓰게 해달라, 군가산점달라 해달라는것만 많으니..ㅋㅋ"
"1454","페미 혐오는 건강에 좋다"
"1455","근데.. 사회풍자라고 보기엔 좀 피해망상적인것 같음. 특정집단을 비꼬는 기분이 드는데 그냥 없는일을 지어내는것같고 보기불편하네"
"1456","분량 미친 개많아 ㅋㅋㅋㅋㅋ읽어도 끝이 없는데 너무 재밌어서 숨도 안쉬고 읽었어"
"1457","분량이고뭐고 한화에뒤지는 엑스트라 해줘 풍자하나하려고 스토리진행안하고 이래 한화 썻다는게참 ㅋㅋ 염병말거 스토리진행이나하지 월클병걸렸네"
"1458","와 보다가 화장실갔다왔는데 순간 다음화인줄알았네 분량 미쳤다.."
"1459","유한성 이름부터가 떡밥이네 근데 회수는 하려나"
"1460","평등을 주장하면서도 아무 행동도 안하고 입만 나불대는게 페미랑 ㅈㄴ 겹쳐서 보이네"
"1461","Error 이분은 진짜 찐으로 신탑 사랑하시는 듯.응원합니다"
"1462","그런데 pc로 볼 때는 1위던데요??"
"1463","아 ㄹㅇ 옘병 꾸역꾸역 어떻게든 만화얘기로 가득 가득 댓글 클린하길 바라면서 치는데 진짜,, 답도없네 ㅋㅋㅋㅋㅋ"
"1464","라샹족 어버이가 왜 죽으셨는지 알 수 있게 되는 화 ㅇㅇ"
"1465","페미 저격ㅋㄱㅋ"
"1466","그래 기회의 평등이 있어야 햐는데 지금 대한민국 좌파들 특히 대깨문들은 결과의 평등을바라고있지 현재 대한민국 꼬라지 풍자한게 맞네"
"1467","오 2위네"
"1468","1위 갑시다"
"1469","과거이야기나와서 와 오늘거 회상으로 끝나나하면서 조심스레 스크롤 내렸는데 분량 미쳤네 ㅋㅋㅋㅋㅋ"
"1470","영웅인데도 공사 구분 못하고 종족을 저따구로 만든건 종족탓도 못함. 그냥 리더가 정치력이 1도 없는거임. 칭기즈칸이 몽골족 단합시킬때 리더쉽 어떻게 발휘했는지만 보면 저 쥐놈이 불쌍은 무슨 걍 멍청하다는 걸 알 수 있음. 아니 인프라를 지어 주고 돈이 유통되서 서로 경쟁하게 해야지 무슨 퍼부어주냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현대사회도 마찬가지임. 평등한 건 기회여야 되는 거고 부자되고싶으면 지가 쟁취하는 게 이미 현대사회에다 현실 사람들이 요구하는 건 돈달라는 게 아니라 기회 늘려달라는건데 전혀 맞지 않는 걸 볼 수 있음. 이게 사회풍자가 되려면 가족한테 가스라이팅당하는 장남/장녀정도지 ㅋㅋㅋㅋㅋㅋ"
"1471","페미 분별을 외모로 하는 것은 어리석은 짓 아닌가, 예쁘면 페미가 아니고 그저 뚱뚱하면 페미라고 일반화 시키는건 뭔가 잘못됐다고 본다, 페미는 정신병이지만 외모지상주의와 혼동하면 안된다..."
"1472","ㅋㅋㅋㅋ환탘ㅋㅋ"
"1473","현재 인기순 2위 조회순 2위1위 가자<U+0001F525><U+0001F525>"
"1474","님들 선풍키고 잠 전 키고 자는뎅ㅋㅋㅋㅋ아 더워.."
"1475","라샹족 = 페미"
"1476","아나 왜 과몰입하면서 화냈지 했더니 저 종족들 오빠놈 생각나서 열받았던거였어 집구석 기어들어와서 머 해달라 저거 해달라 밥이던 빨래던 지 손으로 하는 일이 없고군대 다녀왔다고 유난 떨면서 집안에서 게임만 해대는 꼴이 저거랑 똑같아 아주.. 아니..군대 다녀왔다고 유난 떨면서 알바도 학교도 안다니면고 집안에서 하루종일 게임만하며 깨끗한 집에, 밥 얻어먹으며 산다? 망할 그런 조건에 군대 안가는 인간이 어딨음? 열뻗쳐서 진짜"
"1477","진짜 전쟁나면 topa부터 쏴죽여야됌"
"1478","눈이 아픈 아유는 우리나라 미래가 밝다 못해 너무 빛나서 입니다(곧 있으면 눈이 멀어서 아무것도 안보이겠군요)"
"1479","페미나 너네나 거기서 거기"
"1480","페미든, 만물페미론자든 둘 다 똑같애."
"1481","라샹족 = 대깨문"
"1482","""해줘"""
"1483","군캉스 갔다와서 가산점 달라는 한국남자들이랑 비슷하네욬ㅋㅋㅋㅋ"
"1484","유한성정말....와...저새기는진짜...와밖에 안나옴 와"
"1485","그리고 씨발 탈코도 예쁜애가 이젠 지친다고 탈코 해야징하면 인정하는데개 별 시골 농장 돼지같은 련들이 탈코한다하면우리한텐 틀린그림찾기다 이년들아변한게없는데 탈코 ㅇㅈㄹ"
"1486","한성이 얘기좀 해봐여 오늘 떡밥 많았는데"
"1487","분량 돌았다 작가님 사랑해요<U+2764>"
"1488","우리가 성별갈등 조장하는건 괜찮지만 너네가 그러는건 꼴보기 싫으니 그만 ""해줘"" ㅋㅋ 혹시 82kg이세요?"
"1489","이번화 왤캐 와닿지..과도한 사랑은 사람을 망칠수도 있음을.. 마지막 말 너무 슬프다 신의탑을 알길 잘했단 생각이 드는 화다"
"1490","님들 눈 않아픔? 난 아퍼..."
"1491","'공산주의' 조금 약하게 말하면 '사회주의' 개 ㅂㅓ러지같은 틀려먹은 사상임"
"1492","하리보야 나 페미 아닌데ㅋㅋㅋ 나도 페미 싫어함ㅋㅋㅋㅌ 착각 오지노"
"1493","유한성님…새삼스럽게 너무 멋지다…하아 처음에는 그냥 나쁘게만 봤는데 이젠.. 그저 빛인가..? 하"
"1494","갑자기 페미가..."
"1495","그런데 계속 악플 다는 친구들은 동일인물인가?.. 말투가 비슷비슷하네"
"1496","성별 갈등?선시비건게 페미다 너네는 호구마냥 길거리에서 시비걸려도 그냥 지나가냐?"
"1497","성별갈등 조장하는거 꼴보기 싫다 특) 지들이 시작한거라는 사실은 기억에서 지워버린 꼴페미 ㅋㅋ"
"1498","...아 팔아파..ㅋㅋㅋㅋ 핸드폰 들면서 봐서 님들 안그럼?ㅋㅋㅋ"
"1499","어휴 난 이제 여기 못끼겠어 이제 어후어후.. 대단해.. 우리나라 앞날이 밝다못해 빛이나... 눈이 멀어버리겠네...."
"1500","너무 아릅답고 경이롭다"
"1501","너도 오니가되지않겠는가"
"1502","작가가 하다하다 이제 한화만에 죽을 엑스트라 과거사까지 빽빽하게 보여주네 ㅋㅋㅋ 답답하다 전개"
"1503","딱 페미네 노력할 생각은 안하고 그냥 해줘해줘 하는 꼬라지가"
"1504","그 대통령 생각나네 아ㅋㅋㅋㅋ"
"1505","유한성이 남자인건 알고있었는데 남자라고 들을때마다 뭔가 너무 어색하다"
"1506","성별갈등 조장하는거 ㄹㅇ 꼴보기 싫다 그만 좀 싸워.."
"1507","모르면 배우던가 그냥 공감하라고~ ㅋㅋ 누구누구들이 참 자주 쓰던 말이다 그쵸?? 어디 성향인지 훤히 보인다 ㅋㅋ 돼지족발 82kg 포장 ""해줘"""
"1508","자 이제 이걸보고 '그쪽'분들이 뭘 좀 느꼈으면 좋겠네"
"1509","개억지"
"1510","아니 재미없음 보지말라고 ㅋㅋ 손목 아프신데도 다시 연재 해주시는데 뭐라하는 애들이 웹툰 그리면 베도는 갈려나 ㅋㅋㅋ니네 안봐도 신의 탑 팬들은 많아요 ㅋㅋㅋ"
"1511","페미들 발작버튼 눌렀네 ㅋㅋㅋㅋ"
"1512","쓸데없이 한화를"
"1513","어쩔수 없이 어떤 희생이라고 감수하면서 포기할수없는… 마음이 무겁다 ㅠㅠ 밤 화이팅이다 진짜.. 대단"
"1514","여남 ㅇㅈㄹㅋㅋㅋㅋㅋ 성별 훤히 보이네"
"1515","분량 무슨일이야 이러면 너무 사랑하잖아 신의 탑을..."
"1516","대한라샹국"
"1517","그냥 공감하고 넘어가면 되는 풍자를 굳이굳이 정치랑 엮고 논란거리 꾸역꾸역 짜내는 애들아... 라샹족이 니네야 걍 만화는 만화로 보고 넘겨"
"1518","먼저 선빵으로 성별 전체를 잠재적범죄자 만들어놓고 뭔 '이제 그만하자' 이러고있어? 폐지하면 오히려 좋지 페미 총공 이런거땜에 너무 역겨웠어"
"1519","아직 손목 완치되신 게 아닐텐데 연재해주셔서 감사합니다... 솔직히 작가님이 구상하신 스토리 다 볼 수 있는 걸로 만족해요"
"1520","페미가 어쩌고 하는게 불편한 사람 특) 하루 20시간 트위터 붙잡고있는 꼴페미 ㅋㅋ"
"1521","기득권은 여야로 싸우는데 젊은것들은 남여, 여남으로 싸우는 구나~ 역시 전투 민족, 배달의 민족이다 시이8888 ~ 다들 즐거운 전투 이어가시길 ㅋㅋㅋ"
"1522","에이 그냥 왜들 싸워 쓸데없는 애한테 분량 너무 채운 작가가 나쁜거임.. 에라이 한화라도 더 해먹으려고 ㅉㅉ"
"1523","??? : ""해줘"""
"1524","오늘화 요약 : 엑스트라의 과거이야기 + 설명충들의 싸움 + 주인공을 지켜보며 혼잣말하는 설명충"
"1525","무능력하고 고마운줄도 모르며 뒤통수나 치려하고 민족주의에 미친게 딱 민주당 지지하는 대깨문들ㅋㅋㅋ 반일 반미 국뽕에 미쳐서 남탓만하고 현실을 모르는 좌좀들이 딱 저렇지"
"1526","우리 사회가 정말 엉망이 되고 있다는 걸 댓글창을 통해 알 수 있었다 씁쓸하구만"
"1527","작가가 뜬금없이 사회풍자를 넣었을거같진 않은데ㅋㅋㅋ 확대해석인듯,,,그냥 분량채우기용 과거 끄집어내기임"
"1528","유한성 에반켕 키링남 sexy큐티 노란아기고양이"
"1529","작가님 의도든 아니든 그냥 해석의 차이같은데 뭔 정치적 이념 넣지말라니 뭐니..ㅋㅋㅋㅋㅋㅋ 자기들이 보기에도 누구랑 하는 짓 똑같나보네"
"1530","걍 시유가 전설인게 다른 웹툰이면 스토리만 몇화가 나와서 독자들 흥미 다잃는데 분량조절 하면서 스토리가 불필요하게 끊어지거나 루즈하게 느끼지 않도록 조절을 하는 노력이 엿보임.특히 무한열차 이후부터는 전체 스토리 비중 비율도 맞추려는 노력이 보이더라.진짜 최고의 작가중 한 명"
"1531","미쳤다~~~ 너무 재밌게 봤습니다^^"
"1532","마지막 사랑했기때문이야 만 따로 둔거 난 소름이 돋아버렸어"
"1533","야 ㄹㅇ 아 저사람들 진짜 나쁘네 이러면서 보고있었는데 갑자기 머리가 띵해졌다 어라 이거 '그 사람'들이랑 똑같잖아..?"
"1534","으나 지발좀! 싫으면 보자말라고!꾸자 조화수 올려주는건 몬데!.."
"1535","아 이제는 정신병걸릴거같아. 제발 성별가지고 그만했으면 좋겠네. 왤케 불만들이지? 기분좋게 웹툰보고 기분좋게 댓달려고 ‘와 이번 편 미쳐따’ 이러면서 들어오면 자꾸 그 성별 드립때문에 기분 더러움. 웹툰 댓글창 폐지했으면 좋겠다 이제."
"1536","여경 취객하나 상대못해서 아 쮸밤 도와주세요 오또케 하는거 실화? 풉키풉키 언냐들 이건 너무하자너~"
